x	MP_T2Blank_S3_L002	MP_T2S1_S3_L002	MP_T2S2_S3_L002	MP_T2S3_S3_L002	MP_T2S4_S3_L002	MP_T2S5_S3_L002	MP_T2S6_S3_L002	MP_T2S7_S3_L002	MP_T2S8_S3_L002	MP_T2S9_S3_L002	MP_T2S10_S3_L002	MP_T2S11_S3_L002	MP_T2WC_S3_L002	MP_T2Tiana_S3_L002	MP_T3S1_S3_L002	MP_T3S2_S3_L002	MP_T3S3_S3_L002	MP_T3S4_S3_L002	MP_T3S5_S3_L002	MP_T3S6_S3_L002	MP_T3S7_S3_L002	MP_T3S8_S3_L002	MP_T3S9_S3_L002	MP_T3S10_S3_L002	MP_T3S11_S3_L002	MP_T3WC_S3_L002	MP_T3Tiana_S3_L002	MP_T5Blank_S4_L002	MP_T5S1_S3_L002	MP_T5S2_S3_L002	MP_T5S3_S3_L002	MP_T5S4_S3_L002	MP_T5S5_S3_L002	MP_T5S6_S3_L002	MP_T5S7_S3_L002	MP_T5S8_S3_L002	MP_T5S9_S3_L002	MP_T5S10_S3_L002	MP_T5S11_S3_L002	MP_T5WC_S4_L002	MP_T5Tiana_S4_L002	MP_A_Blank_S4_L002	MP_AC4_S4_L002	MP_AC5_S4_L002	MP_AS1_S4_L002	MP_AS3_S4_L002	MP_AS6_S4_L002	MP_AS9_S4_L002	MP_J_Blank_S4_L002	MP_JC4_S4_L002	MP_JC5_S4_L002	MP_JS1_S4_L002	MP_JS3_S4_L002	MP_JS6_S4_L002	MP_JS9_S4_L002	MP_S_Blank_S4_L002	MP_SC4_S4_L002	MP_SC5_S4_L002	MP_SS1_S4_L002	MP_SS3_S4_L002	MP_SS6_S4_L002	MP_SS9_S4_L002
ASV_107	0	0	3555	0	0	860	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	923	607	848	849	1252	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	261	0	0	0	0	0	0	321	5107	0	0	0	0	0	0	0	0	605	0	0	714	0	0	0	0	376	0	494	0	0	0	0	636	1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	0	0	0	0	0	8646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	0	704	0	0	0	0	0	521	0	200	0	0	0	0	0	0	0	0	0	0	1057	1001	0	401	0	0	0	0	346	617	0	0	0	427	588	697	624	1339	0	0	0	0	0	0	0	0	0	0	0	743	0	0	0	0	0	0	0	0	0	0	0
ASV_117	6	18	9	11	22	22	39	0	9	19	11	14	17	23	39	7	15	33	38	39	43	12	20	26	16	47	11	0	7	10	14	25	21	8245	9	21	14	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	0	0	0	0	3131	0	0	0	0	0	0	367	978	0	0	716	1513	155	631	0	611	152	0	0	0	0	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_127	0	0	0	0	231	0	0	0	671	414	0	0	0	0	0	0	0	0	0	409	0	0	0	874	629	0	0	0	0	978	1481	0	528	654	1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_135	0	0	0	0	0	0	0	0	0	427	0	0	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	410	4641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1426	0	0	0	0	0	0	0	0	0	0	0
